time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-09 00:00:00+00:00,2.0,2.0,5,5
2022-12-10 00:00:00+00:00,1.0,1.0,16,10
2022-12-11 00:00:00+00:00,1.0,1.0,3,3
2022-12-12 00:00:00+00:00,2.0,2.0,10,7
2022-12-13 00:00:00+00:00,1.0,1.0,3,2
2022-12-14 00:00:00+00:00,2.0,2.0,8,7
2022-12-15 00:00:00+00:00,2.0,2.0,7,2
2022-12-16 00:00:00+00:00,1.0,1.0,5,3
2022-12-17 00:00:00+00:00,1.0,1.0,7,4
2022-12-18 00:00:00+00:00,1.0,1.0,14,6
2022-12-19 00:00:00+00:00,1.0,1.0,4,4
2022-12-20 00:00:00+00:00,2.0,2.0,19,7
2022-12-21 00:00:00+00:00,1.0,1.0,3,2
2022-12-22 00:00:00+00:00,,,13,4
