time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-06 00:00:00+00:00,1,1,5.0,3.0
2023-01-07 00:00:00+00:00,1,1,7.0,6.0
2023-01-08 00:00:00+00:00,2,2,5.0,5.0
2023-01-09 00:00:00+00:00,3,3,2.0,1.0
2023-01-10 00:00:00+00:00,4,4,,
2023-01-11 00:00:00+00:00,1,1,,
2023-01-12 00:00:00+00:00,2,2,,
2023-01-13 00:00:00+00:00,1,1,3.0,2.0
2023-01-14 00:00:00+00:00,2,2,4.0,3.0
2023-01-15 00:00:00+00:00,1,1,10.0,4.0
2023-01-16 00:00:00+00:00,3,3,4.0,4.0
2023-01-17 00:00:00+00:00,1,1,3.0,2.0
2023-01-18 00:00:00+00:00,1,1,2.0,2.0
2023-01-19 00:00:00+00:00,1,1,4.0,4.0
