time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-05 00:00:00+00:00,1,1,15,11
2022-11-06 00:00:00+00:00,1,1,1,1
2022-11-07 00:00:00+00:00,4,4,11,6
2022-11-08 00:00:00+00:00,2,2,10,6
2022-11-09 00:00:00+00:00,5,5,8,5
2022-11-10 00:00:00+00:00,2,2,1,1
2022-11-11 00:00:00+00:00,1,1,10,7
2022-11-12 00:00:00+00:00,3,3,10,8
2022-11-13 00:00:00+00:00,2,2,13,6
2022-11-14 00:00:00+00:00,2,2,7,4
2022-11-15 00:00:00+00:00,2,2,9,6
2022-11-16 00:00:00+00:00,2,2,11,8
2022-11-17 00:00:00+00:00,1,1,5,4
2022-11-18 00:00:00+00:00,1,1,4,4
