time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-07 00:00:00+00:00,6,4,14,9
2022-12-08 00:00:00+00:00,1,1,4,4
2022-12-09 00:00:00+00:00,2,2,5,5
2022-12-10 00:00:00+00:00,1,1,16,10
2022-12-11 00:00:00+00:00,1,1,3,3
2022-12-12 00:00:00+00:00,2,2,10,7
2022-12-13 00:00:00+00:00,1,1,3,2
2022-12-14 00:00:00+00:00,2,2,8,7
2022-12-15 00:00:00+00:00,2,2,7,2
2022-12-16 00:00:00+00:00,1,1,5,3
2022-12-17 00:00:00+00:00,1,1,7,4
2022-12-18 00:00:00+00:00,1,1,14,6
2022-12-19 00:00:00+00:00,1,1,4,4
2022-12-20 00:00:00+00:00,1,1,7,6
