time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-12 00:00:00+00:00,2,2,12,8
2022-10-13 00:00:00+00:00,1,1,18,9
2022-10-14 00:00:00+00:00,3,3,5,4
2022-10-15 00:00:00+00:00,2,2,13,9
2022-10-16 00:00:00+00:00,2,2,1,1
2022-10-17 00:00:00+00:00,1,1,21,12
2022-10-18 00:00:00+00:00,1,1,7,6
2022-10-19 00:00:00+00:00,2,2,10,8
2022-10-20 00:00:00+00:00,1,1,5,3
2022-10-21 00:00:00+00:00,3,3,6,5
2022-10-22 00:00:00+00:00,2,2,7,4
2022-10-23 00:00:00+00:00,2,2,5,3
2022-10-24 00:00:00+00:00,1,1,9,6
2022-10-25 00:00:00+00:00,1,1,8,6
